title,link,description
Acoustics,https://www.mdpi.com/journal/acoustics,"Acoustics is an international, peer-reviewed, open access journal on acoustics science and engineering, published quarterly online by MDPI."
Acta Microbiologica Hellenica,https://www.mdpi.com/journal/amh,"Acta Microbiologica Hellenica is an international, peer-reviewed, open access journal on medical microbiology. The journal is owned by the Hellenic Society for Microbiology and is published quarterly online by MDPI (since Volume 69, Issue 1 - 2024). The Hellenic Society for Microbiology is affiliated with AMH and its members receive discounts on the article processing charges."
Actuators,https://www.mdpi.com/journal/actuators,"Actuators is an international, peer-reviewed, open access journal on the science and technology of actuators and control systems published monthly online by MDPI."
Administrative Sciences,https://www.mdpi.com/journal/admsci,"Administrative Sciences is an international, peer-reviewed, scholarly, open access journal on organization studies published monthly online by MDPI."
Adolescents,https://www.mdpi.com/journal/adolescents,"Adolescents is an international, peer-reviewed, open access journal on adolescent development and health sciences published quarterly online by MDPI."
Advances in Respiratory Medicine,https://www.mdpi.com/journal/arm,"Advances in Respiratory Medicine is an international, peer-reviewed, open access journal on respiratory medicine, covering allergology, oncology, immunology, and infectious diseases of the respiratory system. The journal is owned by the Polish Respiratory Society and is published bimonthly online by MDPI (since Volume 90, Issue 4 - 2022)."
Aerobiology,https://www.mdpi.com/journal/aerobiology,"Aerobiology is an international, peer-reviewed, open access journal on environmental sciences and public environmental occupational health published quarterly online by MDPI."
Aerospace,https://www.mdpi.com/journal/aerospace,"Aerospace is a peer-reviewed, open access journal of aeronautics and astronautics published monthly online by MDPI. The European Aeronautics Science Network (EASN), and the ECATS International Association are affiliated with Aerospace and their members receive a discount on the article processing charges."
Agriculture,https://www.mdpi.com/journal/agriculture,"Agriculture is an international, scientific peer-reviewed open access journal published monthly online by MDPI."
AgriEngineering,https://www.mdpi.com/journal/agriengineering,"AgriEngineering is an international, peer-reviewed, open access journal on the engineering science of agricultural and horticultural production, published quarterly online by MDPI."
Agrochemicals,https://www.mdpi.com/journal/agrochemicals,"Agrochemicals is an international, peer-reviewed, open access journal on all aspects of agrochemicals published quarterly online by MDPI."
Agronomy,https://www.mdpi.com/journal/agronomy,"Agronomy is an international, peer-reviewed, open access journal on agronomy and agroecology published monthly online by MDPI. The Spanish Society of Plant Physiology (SEFV) is affiliated with Agronomy and their members receive discounts on the article processing charges."
AI,https://www.mdpi.com/journal/ai,"AI is an international, peer-reviewed, open access journal on artificial intelligence (AI), including broad aspects of cognition and reasoning, perception and planning, machine learning, intelligent robotics, and applications of AI, published quarterly online by MDPI."
Air,https://www.mdpi.com/journal/air,"Air is an international, peer-reviewed, open access journal on all aspects of air research, including air science, air technology, air management and governance, published quarterly online by MDPI."
Algorithms,https://www.mdpi.com/journal/algorithms,"Algorithms is a peer-reviewed, open access journal which provides an advanced forum for studies related to algorithms and their applications. Algorithms is published monthly online by MDPI. The European Society for Fuzzy Logic and Technology (EUSFLAT) is affiliated with Algorithms and their members receive discounts on the article processing charges."
Allergies,https://www.mdpi.com/journal/allergies,"Allergies is an international, peer-reviewed, open access journal on allergy and immunology published quarterly online by MDPI."
Alloys,https://www.mdpi.com/journal/alloys,"Alloys is an international, peer-reviewed, open access journal on all aspects of alloys science and engineering, published quarterly online by MDPI."
Analytica,https://www.mdpi.com/journal/analytica,"Analytica is an international, peer-reviewed, open access journal on analytical chemistry and chemical analysis published quarterly online by MDPI."
Analytics,https://www.mdpi.com/journal/analytics,"Analytics is an international, peer-reviewed, open access journal on methodologies, technologies, and applications of analytics, published quarterly online by MDPI."
Anatomia,https://www.mdpi.com/journal/anatomia,"Anatomia is an international, peer-reviewed, open access journal on anatomy published quarterly online by MDPI."
Anesthesia Research,https://www.mdpi.com/journal/anesthres,"Anesthesia Research is an international, peer-reviewed, open access journal on anesthesia research and practices published quarterly online by MDPI."
Animals,https://www.mdpi.com/journal/animals,"Animals is an international, peer-reviewed, open access journal devoted entirely to animals, including zoology and veterinary sciences, published semimonthly online by MDPI. The World Association of Zoos and Aquariums (WAZA), European College of Animal Welfare and Behavioural Medicine (ECAWBM), and Federation of European Laboratory Animal Science Associations (FELASA) are affiliated with Animals and their members receive a discount on the article processing charges."
Antibiotics,https://www.mdpi.com/journal/antibiotics,"Antibiotics is an international, peer-reviewed, open access journal on all aspects of antibiotics, published monthly online by MDPI."
Antibodies,https://www.mdpi.com/journal/antibodies,"Antibodies is an international, peer-reviewed, open access journal on immunoglobulins, published quarterly online by MDPI."
Antioxidants,https://www.mdpi.com/journal/antioxidants,"Antioxidants is an international, peer-reviewed, open access journal, published monthly online by MDPI. The International Coenzyme Q10 Association (ICQ10A), Israel Society for Oxygen and Free Radical Research (ISOFRR) and European Academy for Molecular Hydrogen Research (EAMHR) are affiliated with Antioxidants and their members receive discounts on the article processing charge."
Applied Biosciences,https://www.mdpi.com/journal/applbiosci,"Applied Biosciences is an international, peer-reviewed, open access journal on all aspects of applied biosciences published quarterly online by MDPI."
Applied Mechanics,https://www.mdpi.com/journal/applmech,"Applied Mechanics is an international, peer-reviewed, open access journal on applied mechanics, published quarterly online by MDPI."
Applied Microbiology,https://www.mdpi.com/journal/applmicrobiol,"Applied Microbiology is an international, peer-reviewed, open access journal on application of microorganisms published quarterly online by MDPI."
Applied Nano,https://www.mdpi.com/journal/applnano,"Applied Nano is an international, peer-reviewed, open access journal on all aspects of application of nanoscience and nanotechnology, published quarterly online by MDPI."
Applied Sciences,https://www.mdpi.com/journal/applsci,"Applied Sciences is an international, peer-reviewed, open access journal on all aspects of applied natural sciences published semimonthly online by MDPI."
